sensor_id;sensor_type;location;lat;lon;timestamp;value_type;value
162;pms5003;73;-1.421;36.953;2021-01-01T02:30:44.648920+00:00;P1;13.60
162;pms5003;73;-1.421;36.953;2021-01-01T02:30:44.648920+00:00;P0;8.80
162;pms5003;73;-1.421;36.953;2021-01-01T02:33:17.599887+00:00;P2;12.00
162;pms5003;73;-1.421;36.953;2021-01-01T02:33:17.599887+00:00;P1;12.00
162;pms5003;73;-1.421;36.953;2021-01-01T02:33:17.599887+00:00;P0;8.60
162;pms5003;73;-1.421;36.953;2021-01-01T02:35:49.441280+00:00;P2;11.75
162;pms5003;73;-1.421;36.953;2021-01-01T02:35:49.441280+00:00;P1;11.75
162;pms5003;73;-1.421;36.953;2021-01-01T02:35:49.441280+00:00;P0;8.00
162;pms5003;73;-1.421;36.953;2021-01-01T02:38:21.894029+00:00;P2;6.00
162;pms5003;73;-1.421;36.953;2021-01-01T02:38:21.894029+00:00;P1;7.00
162;pms5003;73;-1.421;36.953;2021-01-01T02:38:21.894029+00:00;P0;4.00
162;pms5003;73;-1.421;36.953;2021-01-01T02:40:54.034672+00:00;P2;9.00
162;pms5003;73;-1.421;36.953;2021-01-01T02:40:54.034672+00:00;P1;11.00
162;pms5003;73;-1.421;36.953;2021-01-01T02:40:54.034672+00:00;P0;6.00
162;pms5003;73;-1.421;36.953;2021-01-01T02:43:27.023972+00:00;P2;9.00
162;pms5003;73;-1.421;36.953;2021-01-01T02:43:27.023972+00:00;P1;9.00
162;pms5003;73;-1.421;36.953;2021-01-01T02:43:27.023972+00:00;P0;5.00
162;pms5003;73;-1.421;36.953;2021-01-01T02:45:59.182800+00:00;P2;7.60
162;pms5003;73;-1.421;36.953;2021-01-01T02:45:59.182800+00:00;P1;9.00
162;pms5003;73;-1.421;36.953;2021-01-01T02:45:59.182800+00:00;P0;5.00
162;pms5003;73;-1.421;36.953;2021-01-01T02:48:31.194320+00:00;P2;8.25
162;pms5003;73;-1.421;36.953;2021-01-01T02:48:31.194320+00:00;P1;9.25
162;pms5003;73;-1.421;36.953;2021-01-01T02:48:31.194320+00:00;P0;6.25
162;pms5003;73;-1.421;36.953;2021-01-01T02:51:03.181863+00:00;P2;9.40
162;pms5003;73;-1.421;36.953;2021-01-01T02:51:03.181863+00:00;P1;10.00
162;pms5003;73;-1.421;36.953;2021-01-01T02:51:03.181863+00:00;P0;4.40
162;pms5003;73;-1.421;36.953;2021-01-01T02:53:35.244546+00:00;P2;9.60
162;pms5003;73;-1.421;36.953;2021-01-01T02:53:35.244546+00:00;P1;10.20
162;pms5003;73;-1.421;36.953;2021-01-01T02:53:35.244546+00:00;P0;6.00
162;pms5003;73;-1.421;36.953;2021-01-01T02:56:07.175642+00:00;P2;8.00
162;pms5003;73;-1.421;36.953;2021-01-01T02:56:07.175642+00:00;P1;9.00
162;pms5003;73;-1.421;36.953;2021-01-01T02:56:07.175642+00:00;P0;5.00
162;pms5003;73;-1.421;36.953;2021-01-01T02:58:39.092728+00:00;P2;9.00
162;pms5003;73;-1.421;36.953;2021-01-01T02:58:39.092728+00:00;P1;9.00
162;pms5003;73;-1.421;36.953;2021-01-01T02:58:39.092728+00:00;P0;4.50
162;pms5003;73;-1.421;36.953;2021-01-01T03:03:41.930824+00:00;P2;6.00
162;pms5003;73;-1.421;36.953;2021-01-01T03:03:41.930824+00:00;P1;8.50
162;pms5003;73;-1.421;36.953;2021-01-01T03:03:41.930824+00:00;P0;4.00
162;pms5003;73;-1.421;36.953;2021-01-01T03:06:13.834595+00:00;P2;7.60
162;pms5003;73;-1.421;36.953;2021-01-01T03:06:13.834595+00:00;P1;8.80
162;pms5003;73;-1.421;36.953;2021-01-01T03:06:13.834595+00:00;P0;5.00
162;pms5003;73;-1.421;36.953;2021-01-01T03:08:45.784050+00:00;P2;6.00
162;pms5003;73;-1.421;36.953;2021-01-01T03:08:45.784050+00:00;P1;6.60
162;pms5003;73;-1.421;36.953;2021-01-01T03:08:45.784050+00:00;P0;4.60
162;pms5003;73;-1.421;36.953;2021-01-01T03:11:17.664090+00:00;P2;6.00
162;pms5003;73;-1.421;36.953;2021-01-01T03:11:17.664090+00:00;P1;6.80
162;pms5003;73;-1.421;36.953;2021-01-01T03:11:17.664090+00:00;P0;4.00
162;pms5003;73;-1.421;36.953;2021-01-01T03:13:49.482817+00:00;P2;3.25
162;pms5003;73;-1.421;36.953;2021-01-01T03:13:49.482817+00:00;P1;4.00
162;pms5003;73;-1.421;36.953;2021-01-01T03:13:49.482817+00:00;P0;3.00
162;pms5003;73;-1.421;36.953;2021-01-01T03:16:21.424390+00:00;P2;5.00
162;pms5003;73;-1.421;36.953;2021-01-01T03:16:21.424390+00:00;P1;6.00
162;pms5003;73;-1.421;36.953;2021-01-01T03:16:21.424390+00:00;P0;4.00
162;pms5003;73;-1.421;36.953;2021-01-01T03:18:53.226006+00:00;P2;5.00
162;pms5003;73;-1.421;36.953;2021-01-01T03:18:53.226006+00:00;P1;5.00
162;pms5003;73;-1.421;36.953;2021-01-01T03:18:53.226006+00:00;P0;3.00
162;pms5003;73;-1.421;36.953;2021-01-01T03:21:28.107819+00:00;P2;4.80
162;pms5003;73;-1.421;36.953;2021-01-01T03:21:28.107819+00:00;P1;5.00
162;pms5003;73;-1.421;36.953;2021-01-01T03:21:28.107819+00:00;P0;2.80
162;pms5003;73;-1.421;36.953;2021-01-01T03:24:25.612364+00:00;P2;3.00
162;pms5003;73;-1.421;36.953;2021-01-01T03:24:25.612364+00:00;P1;3.67
162;pms5003;73;-1.421;36.953;2021-01-01T03:24:25.612364+00:00;P0;2.00
162;pms5003;73;-1.421;36.953;2021-01-01T03:26:57.484488+00:00;P2;5.80
162;pms5003;73;-1.421;36.953;2021-01-01T03:26:57.484488+00:00;P1;8.00
162;pms5003;73;-1.421;36.953;2021-01-01T03:26:57.484488+00:00;P0;2.60
162;pms5003;73;-1.421;36.953;2021-01-01T03:29:29.360061+00:00;P2;1.00
162;pms5003;73;-1.421;36.953;2021-01-01T03:29:29.360061+00:00;P1;1.40
162;pms5003;73;-1.421;36.953;2021-01-01T03:29:29.360061+00:00;P0;0.60
162;pms5003;73;-1.421;36.953;2021-01-01T03:32:01.160496+00:00;P2;0.00
162;pms5003;73;-1.421;36.953;2021-01-01T03:32:01.160496+00:00;P1;0.00
162;pms5003;73;-1.421;36.953;2021-01-01T03:32:01.160496+00:00;P0;0.00
162;pms5003;73;-1.421;36.953;2021-01-01T03:34:33.093817+00:00;P2;1.00
162;pms5003;73;-1.421;36.953;2021-01-01T03:34:33.093817+00:00;P1;1.00
162;pms5003;73;-1.421;36.953;2021-01-01T03:34:33.093817+00:00;P0;0.00
162;pms5003;73;-1.421;36.953;2021-01-01T03:37:04.875836+00:00;P2;1.00
162;pms5003;73;-1.421;36.953;2021-01-01T03:37:04.875836+00:00;P1;1.00
162;pms5003;73;-1.421;36.953;2021-01-01T03:37:04.875836+00:00;P0;0.00
162;pms5003;73;-1.421;36.953;2021-01-01T03:39:36.824700+00:00;P2;0.00
162;pms5003;73;-1.421;36.953;2021-01-01T03:39:36.824700+00:00;P1;0.00
162;pms5003;73;-1.421;36.953;2021-01-01T03:39:36.824700+00:00;P0;0.00
162;pms5003;73;-1.421;36.953;2021-01-01T03:42:09.709209+00:00;P2;0.00
162;pms5003;73;-1.421;36.953;2021-01-01T03:42:09.709209+00:00;P1;0.00
162;pms5003;73;-1.421;36.953;2021-01-01T03:42:09.709209+00:00;P0;0.00
162;pms5003;73;-1.421;36.953;2021-01-01T03:44:43.957978+00:00;P2;0.00
162;pms5003;73;-1.421;36.953;2021-01-01T03:44:43.957978+00:00;P1;0.00
162;pms5003;73;-1.421;36.953;2021-01-01T03:44:43.957978+00:00;P0;0.00
162;pms5003;73;-1.421;36.953;2021-01-01T03:47:15.920348+00:00;P2;0.00
162;pms5003;73;-1.421;36.953;2021-01-01T03:47:15.920348+00:00;P1;0.00
162;pms5003;73;-1.421;36.953;2021-01-01T03:47:15.920348+00:00;P0;0.00
162;pms5003;73;-1.421;36.953;2021-01-01T03:49:47.759744+00:00;P2;0.00
162;pms5003;73;-1.421;36.953;2021-01-01T03:49:47.759744+00:00;P1;0.00
162;pms5003;73;-1.421;36.953;2021-01-01T03:49:47.759744+00:00;P0;0.00
162;pms5003;73;-1.421;36.953;2021-01-01T03:52:19.835460+00:00;P2;0.00
162;pms5003;73;-1.421;36.953;2021-01-01T03:52:19.835460+00:00;P1;0.00
162;pms5003;73;-1.421;36.953;2021-01-01T03:52:19.835460+00:00;P0;0.00
162;pms5003;73;-1.421;36.953;2021-01-01T03:54:51.771558+00:00;P2;0.00
162;pms5003;73;-1.421;36.953;2021-01-01T03:54:51.771558+00:00;P1;0.00
162;pms5003;73;-1.421;36.953;2021-01-01T03:54:51.771558+00:00;P0;0.00
162;pms5003;73;-1.421;36.953;2021-01-01T03:57:23.591387+00:00;P2;0.00
162;pms5003;73;-1.421;36.953;2021-01-01T03:57:23.591387+00:00;P1;0.00
162;pms5003;73;-1.421;36.953;2021-01-01T03:57:23.591387+00:00;P0;0.00
162;pms5003;73;-1.421;36.953;2021-01-01T03:59:55.560221+00:00;P2;0.00
162;pms5003;73;-1.421;36.953;2021-01-01T03:59:55.560221+00:00;P1;0.00
162;pms5003;73;-1.421;36.953;2021-01-01T03:59:55.560221+00:00;P0;0.00
162;pms5003;73;-1.421;36.953;2021-01-01T04:02:27.468502+00:00;P2;0.00
162;pms5003;73;-1.421;36.953;2021-01-01T04:02:27.468502+00:00;P1;0.00
162;pms5003;73;-1.421;36.953;2021-01-01T04:02:27.468502+00:00;P0;0.00
162;pms5003;73;-1.421;36.953;2021-01-01T04:04:59.339549+00:00;P2;0.00
162;pms5003;73;-1.421;36.953;2021-01-01T04:04:59.339549+00:00;P1;0.00
162;pms5003;73;-1.421;36.953;2021-01-01T04:04:59.339549+00:00;P0;0.00
162;pms5003;73;-1.421;36.953;2021-01-01T04:07:31.143119+00:00;P2;0.00
162;pms5003;73;-1.421;36.953;2021-01-01T04:07:31.143119+00:00;P1;0.00
162;pms5003;73;-1.421;36.953;2021-01-01T04:07:31.143119+00:00;P0;0.00
162;pms5003;73;-1.421;36.953;2021-01-01T04:10:03.054407+00:00;P2;0.40
162;pms5003;73;-1.421;36.953;2021-01-01T04:10:03.054407+00:00;P1;2.00
162;pms5003;73;-1.421;36.953;2021-01-01T04:10:03.054407+00:00;P0;0.00
162;pms5003;73;-1.421;36.953;2021-01-01T04:12:34.970613+00:00;P2;0.00
162;pms5003;73;-1.421;36.953;2021-01-01T04:12:34.970613+00:00;P1;0.00
162;pms5003;73;-1.421;36.953;2021-01-01T04:12:34.970613+00:00;P0;0.00
162;pms5003;73;-1.421;36.953;2021-01-01T04:15:06.927571+00:00;P2;0.00
162;pms5003;73;-1.421;36.953;2021-01-01T04:15:06.927571+00:00;P1;0.00
162;pms5003;73;-1.421;36.953;2021-01-01T04:15:06.927571+00:00;P0;0.00
162;pms5003;73;-1.421;36.953;2021-01-01T04:17:42.825617+00:00;P2;0.00
162;pms5003;73;-1.421;36.953;2021-01-01T04:17:42.825617+00:00;P1;0.00
162;pms5003;73;-1.421;36.953;2021-01-01T04:17:42.825617+00:00;P0;0.00
162;pms5003;73;-1.421;36.953;2021-01-01T04:20:14.622532+00:00;P2;0.00
162;pms5003;73;-1.421;36.953;2021-01-01T04:20:14.622532+00:00;P1;0.00
162;pms5003;73;-1.421;36.953;2021-01-01T04:20:14.622532+00:00;P0;0.00
162;pms5003;73;-1.421;36.953;2021-01-01T04:22:46.421634+00:00;P2;0.00
162;pms5003;73;-1.421;36.953;2021-01-01T04:22:46.421634+00:00;P1;0.00
162;pms5003;73;-1.421;36.953;2021-01-01T04:22:46.421634+00:00;P0;0.00
162;pms5003;73;-1.421;36.953;2021-01-01T04:25:18.273269+00:00;P2;0.00
162;pms5003;73;-1.421;36.953;2021-01-01T04:25:18.273269+00:00;P1;0.00
162;pms5003;73;-1.421;36.953;2021-01-01T04:25:18.273269+00:00;P0;0.00
162;pms5003;73;-1.421;36.953;2021-01-01T04:27:50.122257+00:00;P2;0.00
162;pms5003;73;-1.421;36.953;2021-01-01T04:27:50.122257+00:00;P1;0.00
162;pms5003;73;-1.421;36.953;2021-01-01T04:27:50.122257+00:00;P0;0.00
162;pms5003;73;-1.421;36.953;2021-01-01T04:30:24.131993+00:00;P2;0.00
162;pms5003;73;-1.421;36.953;2021-01-01T04:30:24.131993+00:00;P1;0.00
162;pms5003;73;-1.421;36.953;2021-01-01T04:30:24.131993+00:00;P0;0.00
162;pms5003;73;-1.421;36.953;2021-01-01T04:32:55.959292+00:00;P2;0.00
162;pms5003;73;-1.421;36.953;2021-01-01T04:32:55.959292+00:00;P1;0.00
162;pms5003;73;-1.421;36.953;2021-01-01T04:32:55.959292+00:00;P0;0.00
162;pms5003;73;-1.421;36.953;2021-01-01T04:35:27.801455+00:00;P2;0.00
162;pms5003;73;-1.421;36.953;2021-01-01T04:35:27.801455+00:00;P1;0.00
162;pms5003;73;-1.421;36.953;2021-01-01T04:35:27.801455+00:00;P0;0.00
162;pms5003;73;-1.421;36.953;2021-01-01T04:37:59.748349+00:00;P2;0.00
162;pms5003;73;-1.421;36.953;2021-01-01T04:37:59.748349+00:00;P1;0.00
162;pms5003;73;-1.421;36.953;2021-01-01T04:37:59.748349+00:00;P0;0.00
162;pms5003;73;-1.421;36.953;2021-01-01T04:40:31.585756+00:00;P2;0.00
162;pms5003;73;-1.421;36.953;2021-01-01T04:40:31.585756+00:00;P1;1.00
162;pms5003;73;-1.421;36.953;2021-01-01T04:40:31.585756+00:00;P0;0.00
