Sub-County3/Sex1,Total,Working,Seeking Work/No Work Available,Persons outside the Labour Force2,Not Stated
Female,17382,5800,1718,9864,-
MARSABIT NORTH,42556,28379,2598,11579,-
Male,23210,15985,1686,5539,-
Female,19345,12394,912,6039,-
MARSABIT SOUTH,50723,34086,2845,13782,10
Male,25671,17651,1663,6352,5
Female,25052,16435,1182,7430,5
MOYALE,49554,14277,9123,26145,9
Male,26196,7541,5769,12880,6
Female,23357,6735,3354,13265,3
NORTH HORR,54255,38953,5442,9697,163
Male,31444,22672,3806,4884,82
Female,22809,16281,1635,4812,81
SOLOLO,31153,12904,4756,13487,6
Male,16544,6785,2967,6789,3
Female,14609,6119,1789,6698,3
ISIOLO,119570,65400,11255,42904,11
Male,64926,35977,7724,21218,7
Female,54641,29421,3530,21686,4
GARBATULLA,54840,26737,7392,20703,8
Male,31250,15489,5283,10474,4
Female,23589,11248,2108,10229,4
ISIOLO,35229,21602,1720,11904,3
Male,18115,11309,988,5815,3
Female,17114,10293,732,6089,-
MERTI,29501,17061,2143,10297,-
Male,15561,9179,1453,4929,-
Female,13938,7880,690,5368,-
MERU,1247197,637412,65502,543935,348
Male,618786,317220,41592,259792,182
Female,628377,320176,23909,284126,166
BUURI EAST,65714,38432,2700,24548,34
Male,32826,19067,1766,11974,19
Female,32888,19365,934,12574,15
BUURI WEST,62912,36590,2625,23690,7
Male,31673,18740,1606,11324,3
Female,31237,17849,1019,12365,4
IGEMBE CENTRAL,191304,83500,15203,92560,41
Male,95375,42195,9654,43505,21
Female,95925,41303,5549,49053,20
IGEMBE NORTH,142329,58919,10996,72367,47
Male,69872,28902,6938,34006,26
Female,72453,30017,4057,38358,21
IGEMBE SOUTH,122519,57102,9106,56260,51
Male,61121,29454,5719,25920,28
Female,61390,27644,3387,30336,23
IMENTI NORTH,87353,50383,4194,32749,27
Male,43672,25269,2736,15650,17
Female,43680,25113,1458,17099,10
IMENTI SOUTH,174614,104092,5340,65165,17
Male,87605,52415,3373,31809,8
Female,87004,51675,1967,33353,9
MERU CENTRAL,120380,72241,3270,44814,55
Male,60118,36038,2118,21935,27
Female,60259,36200,1152,22879,28
TIGANIA CENTRAL,90795,45044,3238,42510,3
Male,44791,22130,2198,20461,2
Female,46004,22914,1040,22049,1
TIGANIA EAST,63971,28690,3324,31905,52
Male,30997,13830,1979,15162,26
Female,32971,14859,1345,16741,26
TIGANIA WEST,124581,61837,5444,57286,14
Male,60129,28654,3453,28017,5
Female,64448,33181,1991,29267,9
MERU NATIONAL PARK,285,211,4,70,-
Male,215,193,-,22,-
Female,70,18,4,48,-
MT. KENYA FOREST,440,371,58,11,-
Male,392,333,52,7,-
Female,48,38,6,4,-
THARAKA-NITHI,322564,175325,11681,135498,60
Male,158625,84135,7435,67022,33
Female,163933,91186,4246,68474,27
IGAMBANG'OMBE,46981,25557,1284,20125,15
Male,23183,12234,879,10061,9
Female,23797,13322,405,10064,6
MAARA,97275,57509,3537,36216,13
Male,48916,28705,2276,17929,6
Female,48359,28804,1261,18287,7
MERU SOUTH,62098,35396,2548,24143,11
Male,30730,17073,1760,11891,6
Female,31367,18323,788,12251,5
THARAKA NORTH,51464,25273,1745,24430,16
Male,24878,11808,1003,12058,9
Female,26584,13464,742,12371,7
THARAKA SOUTH,64592,31510,2565,30512,5
Male,30848,14255,1517,15073,3
Female,33742,17253,1048,15439,2
MOUNT KENYA FOREST,154,80,2,72,-
Male,70,60,-,10,-
Female,84,20,2,62,-
EMBU,478273,280186,15683,182365,39
Male,239399,139320,10825,89237,17
Female,238864,140859,4858,93125,22
EMBU EAST,112775,68439,4274,40059,3
Male,56215,33754,2900,19560,1
Female,56559,34684,1374,20499,2
EMBU NORTH,71785,43464,2662,25655,4
Male,35702,21316,1715,12670,1
Female,36080,22145,947,12985,3
EMBU WEST,56669,34473,1873,20323,-
Male,28562,17452,1292,9818,-
Female,28107,17021,581,10505,-
