New jobs ('000),2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Formal,59.5,71.9,74.7,134.3,106.3,132.1,94,116.3,80.8,78.4
Informal,,,,,693.4,715.2,713.1,789.6,744.1,767.9
