County / Sub-County,Conventional Households,"Stand - alone
Radio","Desk Top
Computer/
Laptop/ Tablet","Functional
Television","Analogue
Television",Internet ,Bicycle, Motor Cycle ,Refrigerator, Car,"Truck/ Lorry/
Bus/ Three
Wheeler truck",Tuk Tuk
LAFEY,11380,67.9,1.3,3.3,1.3,3.5,3.8,4.8,0.9,3.2,1.8,2.5
MANDERA CENTRAL,20795,39.8,1.8,13.2,2.5,3.9,5,9.5,6,4.4,1.4,2.6
MANDERA EAST,25206,46.3,2.5,17.6,1.5,5.6,1.6,1.3,7.7,3.6,0.8,1.2
MANDERA NORTH,19030,49.4,0.9,3.9,0.7,2.2,1.7,2.9,1.2,1.2,0.5,1.2
MARSABIT,76689,27.8,2.5,14.7,1.6,4.4,1.9,5.6,3,2.2,0.6,0.6
LOIYANGALANI,7646,10.9,1,3.3,0.5,2,0.6,2.6,0.4,0.9,0.4,0.3
MARSABIT CENTRAL,15658,44.7,5.9,33,3.2,9.2,4.3,11.3,7.3,5,0.8,0.8
MARSABIT NORTH,7468,41.1,0.8,3.5,0.4,1.5,1.2,4.9,0.4,0.9,0.4,0.5
MARSABIT SOUTH,11563,15.7,1.3,4.5,0.5,2.3,0.9,2.4,0.8,1.2,0.3,0.5
MOYALE,17591,27.3,2.8,25.3,2.6,6,2.2,6,5.3,2.4,0.7,0.5
NORTH HORR,9601,17.4,1.2,3.2,0.7,2,1.1,2.4,0.5,1.3,0.9,0.8
SOLOLO,7162,29.3,1.2,4.8,0.6,1.7,1.2,5.6,0.5,1.1,0.4,0.7
ISIOLO,53217,39.1,4.5,26.8,2.4,8.9,4.2,7.9,7.5,4,0.7,0.6
GARBATULLA,17047,38.4,1.1,9,1.3,2.6,2,5.5,2.7,1.7,0.6,1
ISIOLO,27612,43.1,7.7,43.4,3.5,14.6,6.4,9.3,12,6.5,0.9,0.3
MERTI,8558,28.1,1,9.1,0.9,2.7,1.4,7.9,2.9,0.8,0.4,0.6
MERU,423931,53.4,4.3,34.5,4.1,10.2,8.7,9.8,3.5,5.2,0.7,0.3
BUURI EAST,23737,62.8,4.3,43.6,8,11.2,9.6,10.6,3.4,7,1.4,0.3
BUURI WEST,27905,59.5,4.4,46.2,5.3,15.9,10.3,11.7,2.7,4.8,0.7,0.3
IGEMBE CENTRAL,51848,48.4,1.4,20.6,2.4,4.9,2.7,7.9,0.8,2.7,0.4,0.3
IGEMBE NORTH,38716,48.7,1.3,17.5,1.7,3.5,1.8,6.9,0.7,2.5,0.3,0.2
IGEMBESOUTH,43222,42.4,2.9,29.9,2.7,7.5,3.1,7.9,2.4,4,0.5,0.3
IMENTI NORTH,57556,52.7,12,56.7,6.2,24.3,10.2,8.3,11.1,10.4,1,0.3
IMENTI SOUTH,63954,59.6,5,42.9,4.3,11.6,9,12.7,4,6.7,0.9,0.3
MERU CENTRAL,39498,62,4,41.1,5.7,9.2,13.3,12.1,3.4,6,0.9,0.3
TIGANIA CENTRAL,24983,51.9,2,19.4,2.1,3.3,8.8,9.5,1,2.9,0.4,0.3
TIGANIA EAST,16791,47.8,2.4,18.3,2.3,4.7,5.1,7.2,1.7,3,0.4,0.3
TIGANIA WEST,35402,51.7,2.8,23.5,3.7,6.7,23,11.5,1.8,3.5,0.5,0.3
